nohup: ignoring input
设备: cuda:0
可用显存: 31.4GB
加载 tokenizer...
加载模型（先 CPU 后 GPU）...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 5959.13it/s]
  模型加载后显存: 0.0GB（应为 0，模型在 CPU）
trainable params: 7,667,712 || all params: 8,198,403,072 || trainable%: 0.0935
  移到 GPU 后显存: 15.3GB / 31.4GB
加载数据...
  数据加载完成: 25704 条

训练配置:
  模型: /root/autodl-tmp/model_cache/Qwen/Qwen3-8B
  总数据: 25704 条
  batch: 1, grad_accum: 8, 等效 batch: 8
  max_length: 2048
  seed: 42
  max_updates: 未设置
  max_samples: 未设置
  总更新步数: 9639

Epoch 1/3
  update 4120 | loss 0.6965 | lr 1.18e-04
  update 4130 | loss 0.7039 | lr 1.18e-04
  update 4140 | loss 0.6729 | lr 1.18e-04
  update 4150 | loss 0.7030 | lr 1.17e-04
  update 4160 | loss 0.7111 | lr 1.17e-04
  update 4170 | loss 0.6855 | lr 1.17e-04
  update 4180 | loss 0.6641 | lr 1.17e-04
  update 4190 | loss 0.7060 | lr 1.17e-04
  update 4200 | loss 0.6810 | lr 1.16e-04
  update 4210 | loss 0.7196 | lr 1.16e-04
  update 4220 | loss 0.6944 | lr 1.16e-04
  update 4230 | loss 0.6760 | lr 1.16e-04
  update 4240 | loss 0.6986 | lr 1.15e-04
  update 4250 | loss 0.6858 | lr 1.15e-04
  update 4260 | loss 0.6998 | lr 1.15e-04
  update 4270 | loss 0.6987 | lr 1.15e-04
  update 4280 | loss 0.6932 | lr 1.15e-04
  update 4290 | loss 0.6891 | lr 1.14e-04
  update 4300 | loss 0.6946 | lr 1.14e-04
  update 4310 | loss 0.6913 | lr 1.14e-04
  update 4320 | loss 0.6738 | lr 1.14e-04
  update 4330 | loss 0.7285 | lr 1.14e-04
  update 4340 | loss 0.6941 | lr 1.13e-04
  update 4350 | loss 0.6849 | lr 1.13e-04
  update 4360 | loss 0.7086 | lr 1.13e-04
  update 4370 | loss 0.6792 | lr 1.13e-04
  update 4380 | loss 0.6860 | lr 1.12e-04
  update 4390 | loss 0.6955 | lr 1.12e-04
  update 4400 | loss 0.6877 | lr 1.12e-04
  update 4410 | loss 0.6998 | lr 1.12e-04
  update 4420 | loss 0.6728 | lr 1.12e-04
  update 4430 | loss 0.6765 | lr 1.11e-04
  update 4440 | loss 0.6619 | lr 1.11e-04
  update 4450 | loss 0.6814 | lr 1.11e-04
  update 4460 | loss 0.6708 | lr 1.11e-04
  update 4470 | loss 0.6964 | lr 1.11e-04
  update 4480 | loss 0.6666 | lr 1.10e-04
  update 4490 | loss 0.6698 | lr 1.10e-04
